На роботе:
Номер | максимум  | минимум  | центр
------|-----------|----------|---------
1     |3470       | 773      | 2715
2     |3130       | 754      | 1551
3     |1002       | 3198     | 2575
4     |3067       | 766      | 1819
5     |3860       | 39       | 1838
6     |3709       | 2265     | 2883
7     |3550       | 874      | 2214
8     |3358       | 828      | 1566
9     |811        | 3001     | 2139
10    |3276       | 923      | 2059
11    |3871       | 21       | 2081
12    |3226       | 1753     | 2275



На пульте:
Номер | максимум  | минимум  | центр
------|-----------|----------|---------
1     | 3415      | 798      | 2928
2     | 3733      | 1360     | 2688
3     | 691       | 3021     | 1953
4     | 3148      | 819      | 2122
5     | 20        | 318      | 2188
6     | 2325      | 1055     | 1480
7     | 3347      | 687      | 1950
8     | 282       | 1888     | 3051
9     | 3890      | 2000     | 1058
10    | 3156      | 811      | 1493
11    | 3756      | 4061     | 1865
12    | 2358      | 1098     | 1598
